Level,DivNum,DivisionName,Subject,Subgroup,20132014PassRate,20142015PassRate,20152016PassRate
Div,25,Cumberland County ,English: Writing,Economically Disadvantaged,55,64,62
Div,25,Cumberland County ,History and Social Sciences,Economically Disadvantaged,76,73,77
Div,25,Cumberland County ,Mathematics,Economically Disadvantaged,50,56,69
Div,25,Cumberland County ,Science,Economically Disadvantaged,68,67,70
Div,25,Cumberland County ,English: Reading,Female,66,71,78
Div,25,Cumberland County ,English: Writing,Female,66,78,79
Div,25,Cumberland County ,History and Social Sciences,Female,81,79,84
Div,25,Cumberland County ,Mathematics,Female,59,68,78
Div,25,Cumberland County ,Science,Female,78,78,81
Div,25,Cumberland County ,English: Reading,Black,49,55,61
Div,25,Cumberland County ,English: Writing,Black,54,65,68
Div,25,Cumberland County ,History and Social Sciences,Black,75,73,78
Div,25,Cumberland County ,Mathematics,Black,48,55,69
Div,25,Cumberland County ,Science,Black,68,63,70
Div,25,Cumberland County ,English: Reading,Hispanic,50,41,68
Div,25,Cumberland County ,English: Writing,Hispanic,53,<,<
Div,25,Cumberland County ,History and Social Sciences,Hispanic,79,80,80
Div,25,Cumberland County ,Mathematics,Hispanic,49,61,71
Div,25,Cumberland County ,Science,Hispanic,55,61,72
Div,25,Cumberland County ,English: Reading,Limited English Proficient,17,36,42
Div,25,Cumberland County ,English: Writing,Limited English Proficient,<,<,<
Div,25,Cumberland County ,History and Social Sciences,Limited English Proficient,<,77,<
Div,25,Cumberland County ,Mathematics,Limited English Proficient,29,57,52
Div,25,Cumberland County ,Science,Limited English Proficient,<,40,<
Div,25,Cumberland County ,English: Reading,Male,57,54,61
Div,25,Cumberland County ,English: Writing,Male,58,62,60
Div,25,Cumberland County ,History and Social Sciences,Male,80,76,78
Div,25,Cumberland County ,Mathematics,Male,53,55,68
Div,25,Cumberland County ,Science,Male,72,68,71
Div,25,Cumberland County ,English: Reading,Students with Disabilities,30,29,33
Div,25,Cumberland County ,English: Writing,Students with Disabilities,31,50,33
Div,25,Cumberland County ,History and Social Sciences,Students with Disabilities,48,39,43
Div,25,Cumberland County ,Mathematics,Students with Disabilities,30,24,41
Div,25,Cumberland County ,Science,Students with Disabilities,44,43,47
Div,25,Cumberland County ,English: Reading,White,70,71,77
Div,25,Cumberland County ,English: Writing,White,66,76,73
Div,25,Cumberland County ,History and Social Sciences,White,84,82,84
Div,25,Cumberland County ,Mathematics,White,62,67,77
Div,25,Cumberland County ,Science,White,81,83,81
Div,108,Danville City ,English: Reading,All Students,61,66,64
Div,108,Danville City ,English: Writing,All Students,61,66,64
Div,108,Danville City ,History and Social Sciences,All Students,75,74,73
Div,108,Danville City ,Mathematics,All Students,63,65,63
Div,108,Danville City ,Science,All Students,67,68,68
Div,108,Danville City ,English: Reading,Asian,73,83,76
Div,108,Danville City ,English: Writing,Asian,81,79,<
Div,108,Danville City ,History and Social Sciences,Asian,81,89,79
Div,108,Danville City ,Mathematics,Asian,75,84,86
Div,108,Danville City ,Science,Asian,79,90,80
Div,108,Danville City ,English: Reading,Economically Disadvantaged,55,61,56
Div,108,Danville City ,English: Writing,Economically Disadvantaged,54,58,55
Div,108,Danville City ,History and Social Sciences,Economically Disadvantaged,70,69,67
Div,108,Danville City ,Mathematics,Economically Disadvantaged,60,61,55
Div,108,Danville City ,Science,Economically Disadvantaged,61,61,58
Div,108,Danville City ,English: Reading,Female,65,70,68
Div,108,Danville City ,English: Writing,Female,67,70,70
Div,108,Danville City ,History and Social Sciences,Female,76,74,72
Div,108,Danville City ,Mathematics,Female,67,69,66
Div,108,Danville City ,Science,Female,65,68,68
Div,108,Danville City ,English: Reading,Black,54,59,57
Div,108,Danville City ,English: Writing,Black,54,58,56
Div,108,Danville City ,History and Social Sciences,Black,69,67,66
Div,108,Danville City ,Mathematics,Black,59,58,57
Div,108,Danville City ,Science,Black,59,60,58
Div,108,Danville City ,English: Reading,Hispanic,69,77,77
Div,108,Danville City ,English: Writing,Hispanic,63,77,81
Div,108,Danville City ,History and Social Sciences,Hispanic,85,89,83
Div,108,Danville City ,Mathematics,Hispanic,64,79,75
Div,108,Danville City ,Science,Hispanic,73,78,80
Div,108,Danville City ,English: Reading,Limited English Proficient,61,67,68
Div,108,Danville City ,English: Writing,Limited English Proficient,38,39,44
Div,108,Danville City ,History and Social Sciences,Limited English Proficient,79,79,70
Div,108,Danville City ,Mathematics,Limited English Proficient,68,77,72
Div,108,Danville City ,Science,Limited English Proficient,58,61,67
Div,108,Danville City ,English: Reading,Male,58,61,60
Div,108,Danville City ,English: Writing,Male,55,62,58
Div,108,Danville City ,History and Social Sciences,Male,75,75,73
Div,108,Danville City ,Mathematics,Male,59,61,59
Div,108,Danville City ,Science,Male,68,67,69
Div,108,Danville City ,English: Reading,Students with Disabilities,30,30,30
Div,108,Danville City ,English: Writing,Students with Disabilities,25,27,37
Div,108,Danville City ,History and Social Sciences,Students with Disabilities,46,39,46
Div,108,Danville City ,Mathematics,Students with Disabilities,35,35,32
Div,108,Danville City ,Science,Students with Disabilities,38,31,39
Div,108,Danville City ,English: Reading,White,79,81,81
Div,108,Danville City ,English: Writing,White,79,83,81
Div,108,Danville City ,History and Social Sciences,White,89,90,86
Div,108,Danville City ,Mathematics,White,76,80,76
Div,108,Danville City ,Science,White,87,86,90
Div,26,Dickenson County ,English: Reading,All Students,72,76,78
Div,26,Dickenson County ,English: Writing,All Students,66,74,74
Div,26,Dickenson County ,History and Social Sciences,All Students,80,81,88
Div,26,Dickenson County ,Mathematics,All Students,73,74,77
Div,26,Dickenson County ,Science,All Students,79,83,89
Div,26,Dickenson County ,English: Reading,Asian,<,<,<
Div,26,Dickenson County ,History and Social Sciences,Asian,<,<,
Div,26,Dickenson County ,Mathematics,Asian,<,<,<
Div,26,Dickenson County ,Science,Asian,<,<,<
Div,26,Dickenson County ,English: Reading,Economically Disadvantaged,66,69,71
Div,26,Dickenson County ,English: Writing,Economically Disadvantaged,61,65,65
Div,26,Dickenson County ,History and Social Sciences,Economically Disadvantaged,74,75,83
Div,26,Dickenson County ,Mathematics,Economically Disadvantaged,67,68,73
Div,26,Dickenson County ,Science,Economically Disadvantaged,74,78,85
Div,26,Dickenson County ,English: Reading,Female,76,80,82
Div,26,Dickenson County ,English: Writing,Female,75,82,83
Div,26,Dickenson County ,History and Social Sciences,Female,78,81,87
Div,26,Dickenson County ,Mathematics,Female,78,79,82
Div,26,Dickenson County ,Science,Female,79,82,90
Div,26,Dickenson County ,English: Reading,Black,60,64,<
Div,26,Dickenson County ,English: Writing,Black,<,<,<
Div,26,Dickenson County ,History and Social Sciences,Black,82,<,<
Div,26,Dickenson County ,Mathematics,Black,75,67,60
Div,26,Dickenson County ,Science,Black,70,<,<
Div,26,Dickenson County ,English: Reading,Hispanic,<,<,<
Div,26,Dickenson County ,English: Writing,Hispanic,<,<,<
Div,26,Dickenson County ,History and Social Sciences,Hispanic,<,<,<
Div,26,Dickenson County ,Mathematics,Hispanic,<,<,<
Div,26,Dickenson County ,Science,Hispanic,<,<,<
Div,26,Dickenson County ,English: Reading,Limited English Proficient,,,<
Div,26,Dickenson County ,Mathematics,Limited English Proficient,,,<
Div,26,Dickenson County ,English: Reading,Male,69,72,74
Div,26,Dickenson County ,English: Writing,Male,58,64,65
Div,26,Dickenson County ,History and Social Sciences,Male,82,82,88
Div,26,Dickenson County ,Mathematics,Male,68,70,73
Div,26,Dickenson County ,Science,Male,79,84,88
Div,26,Dickenson County ,English: Reading,Students with Disabilities,35,42,43
Div,26,Dickenson County ,English: Writing,Students with Disabilities,18,28,13
Div,26,Dickenson County ,History and Social Sciences,Students with Disabilities,45,41,63
Div,26,Dickenson County ,Mathematics,Students with Disabilities,38,43,42
Div,26,Dickenson County ,Science,Students with Disabilities,39,56,62
Div,26,Dickenson County ,English: Reading,White,72,76,78
Div,26,Dickenson County ,English: Writing,White,67,74,74
Div,26,Dickenson County ,History and Social Sciences,White,80,81,88
Div,26,Dickenson County ,Mathematics,White,73,74,77
Div,26,Dickenson County ,Science,White,79,83,89
Div,27,Dinwiddie County ,English: Reading,All Students,68,75,75
Div,27,Dinwiddie County ,English: Writing,All Students,68,71,73
Div,27,Dinwiddie County ,History and Social Sciences,All Students,79,83,83
Div,27,Dinwiddie County ,Mathematics,All Students,69,70,76
Div,27,Dinwiddie County ,Science,All Students,76,72,78
Div,27,Dinwiddie County ,English: Reading,Asian,<,<,<
Div,27,Dinwiddie County ,English: Writing,Asian,<,<,<
Div,27,Dinwiddie County ,History and Social Sciences,Asian,83,<,<
Div,27,Dinwiddie County ,Mathematics,Asian,88,75,73
Div,27,Dinwiddie County ,Science,Asian,100,<,<
Div,27,Dinwiddie County ,English: Reading,Economically Disadvantaged,60,67,70
Div,27,Dinwiddie County ,English: Writing,Economically Disadvantaged,62,65,64
Div,27,Dinwiddie County ,History and Social Sciences,Economically Disadvantaged,71,76,77
Div,27,Dinwiddie County ,Mathematics,Economically Disadvantaged,62,62,71
Div,27,Dinwiddie County ,Science,Economically Disadvantaged,68,63,68
Div,27,Dinwiddie County ,English: Reading,Female,72,78,80
Div,27,Dinwiddie County ,English: Writing,Female,73,77,81
Div,27,Dinwiddie County ,History and Social Sciences,Female,78,81,83
Div,27,Dinwiddie County ,Mathematics,Female,72,73,79
Div,27,Dinwiddie County ,Science,Female,75,73,79
Div,27,Dinwiddie County ,English: Reading,Black,61,68,66
Div,27,Dinwiddie County ,English: Writing,Black,60,68,64
Div,27,Dinwiddie County ,History and Social Sciences,Black,73,77,78
Div,27,Dinwiddie County ,Mathematics,Black,61,61,68
Div,27,Dinwiddie County ,Science,Black,64,62,65
Div,27,Dinwiddie County ,English: Reading,Hispanic,69,69,69
Div,27,Dinwiddie County ,English: Writing,Hispanic,63,48,71
Div,27,Dinwiddie County ,History and Social Sciences,Hispanic,80,84,86
Div,27,Dinwiddie County ,Mathematics,Hispanic,72,73,80
Div,27,Dinwiddie County ,Science,Hispanic,75,63,81
Div,27,Dinwiddie County ,English: Reading,Limited English Proficient,<,,60
Div,27,Dinwiddie County ,History and Social Sciences,Limited English Proficient,<,,<
Div,27,Dinwiddie County ,Mathematics,Limited English Proficient,<,,79
Div,27,Dinwiddie County ,Science,Limited English Proficient,<,<,<
Div,27,Dinwiddie County ,English: Reading,Male,64,71,71
Div,27,Dinwiddie County ,English: Writing,Male,64,65,65
Div,27,Dinwiddie County ,History and Social Sciences,Male,80,84,83
Div,27,Dinwiddie County ,Mathematics,Male,66,66,73
Div,27,Dinwiddie County ,Science,Male,77,71,77
Div,27,Dinwiddie County ,English: Reading,Students with Disabilities,31,39,39
Div,27,Dinwiddie County ,English: Writing,Students with Disabilities,37,43,35
Div,27,Dinwiddie County ,History and Social Sciences,Students with Disabilities,56,56,57
Div,27,Dinwiddie County ,Mathematics,Students with Disabilities,38,41,48
Div,27,Dinwiddie County ,Science,Students with Disabilities,51,41,51
Div,27,Dinwiddie County ,English: Reading,White,72,80,82
Div,27,Dinwiddie County ,English: Writing,White,74,74,79
Div,27,Dinwiddie County ,History and Social Sciences,White,83,86,86
Div,27,Dinwiddie County ,Mathematics,White,74,75,80
Div,27,Dinwiddie County ,Science,White,84,79,85
Div,28,Essex County ,English: Reading,All Students,64,70,72
Div,28,Essex County ,English: Writing,All Students,57,70,71
Div,28,Essex County ,History and Social Sciences,All Students,70,62,72
Div,28,Essex County ,Mathematics,All Students,59,67,65
Div,28,Essex County ,Science,All Students,66,63,67
Div,28,Essex County ,English: Reading,Asian,<,<,<
Div,28,Essex County ,English: Writing,Asian,<,<,<
Div,28,Essex County ,History and Social Sciences,Asian,70,<,<
Div,28,Essex County ,Mathematics,Asian,<,80,100
Div,28,Essex County ,Science,Asian,<,<,<
Div,28,Essex County ,English: Reading,Economically Disadvantaged,56,62,67
Div,28,Essex County ,English: Writing,Economically Disadvantaged,45,62,66
Div,28,Essex County ,History and Social Sciences,Economically Disadvantaged,62,56,69
Div,28,Essex County ,Mathematics,Economically Disadvantaged,50,62,59
Div,28,Essex County ,Science,Economically Disadvantaged,55,51,62
Div,28,Essex County ,English: Reading,Female,69,73,74
Div,28,Essex County ,English: Writing,Female,66,74,75
Div,28,Essex County ,History and Social Sciences,Female,69,59,71
Div,28,Essex County ,Mathematics,Female,62,70,66
Div,28,Essex County ,Science,Female,66,61,67
Div,28,Essex County ,English: Reading,Black,55,64,67
Div,28,Essex County ,English: Writing,Black,45,60,59
Div,28,Essex County ,History and Social Sciences,Black,62,49,68
Div,28,Essex County ,Mathematics,Black,52,61,61
Div,28,Essex County ,Science,Black,55,51,60
Div,28,Essex County ,English: Reading,Hispanic,53,62,64
Div,28,Essex County ,English: Writing,Hispanic,69,73,<
Div,28,Essex County ,History and Social Sciences,Hispanic,61,61,<
Div,28,Essex County ,Mathematics,Hispanic,66,72,55
Div,28,Essex County ,Science,Hispanic,63,75,55
Div,28,Essex County ,English: Reading,Limited English Proficient,33,44,56
Div,28,Essex County ,English: Writing,Limited English Proficient,<,<,<
Div,28,Essex County ,History and Social Sciences,Limited English Proficient,44,58,<
Div,28,Essex County ,Mathematics,Limited English Proficient,62,75,68
Div,28,Essex County ,Science,Limited English Proficient,56,<,50
Div,28,Essex County ,English: Reading,Male,59,67,71
Div,28,Essex County ,English: Writing,Male,48,65,69
Div,28,Essex County ,History and Social Sciences,Male,71,65,74
Div,28,Essex County ,Mathematics,Male,57,64,64
Div,28,Essex County ,Science,Male,65,66,68
Div,28,Essex County ,English: Reading,Students with Disabilities,24,30,28
Div,28,Essex County ,English: Writing,Students with Disabilities,33,22,29
Div,28,Essex County ,History and Social Sciences,Students with Disabilities,48,29,52
Div,28,Essex County ,Mathematics,Students with Disabilities,25,28,29
Div,28,Essex County ,Science,Students with Disabilities,26,32,35
Div,28,Essex County ,English: Reading,White,78,80,82
Div,28,Essex County ,English: Writing,White,74,82,83
Div,28,Essex County ,History and Social Sciences,White,82,79,77
Div,28,Essex County ,Mathematics,White,68,75,71
Div,28,Essex County ,Science,White,80,76,80
Div,29,Fairfax County ,English: Reading,All Students,81,85,85
Div,29,Fairfax County ,English: Writing,All Students,84,85,86
Div,29,Fairfax County ,History and Social Sciences,All Students,90,90,90
Div,29,Fairfax County ,Mathematics,All Students,81,83,83
Div,29,Fairfax County ,Science,All Students,84,84,86
Div,29,Fairfax County ,English: Reading,Asian,88,92,92
Div,29,Fairfax County ,English: Writing,Asian,92,92,92
Div,29,Fairfax County ,History and Social Sciences,Asian,95,95,96
Div,29,Fairfax County ,Mathematics,Asian,91,93,93
Div,29,Fairfax County ,Science,Asian,92,92,94
Div,29,Fairfax County ,English: Reading,Economically Disadvantaged,62,68,68
Div,29,Fairfax County ,English: Writing,Economically Disadvantaged,66,66,67
Div,29,Fairfax County ,History and Social Sciences,Economically Disadvantaged,76,75,76
Div,29,Fairfax County ,Mathematics,Economically Disadvantaged,63,67,67
Div,29,Fairfax County ,Science,Economically Disadvantaged,64,65,67
Div,29,Fairfax County ,English: Reading,Female,83,87,87
Div,29,Fairfax County ,English: Writing,Female,88,88,89
Div,29,Fairfax County ,History and Social Sciences,Female,89,89,89
Div,29,Fairfax County ,Mathematics,Female,82,85,85
Div,29,Fairfax County ,Science,Female,84,85,86
Div,29,Fairfax County ,English: Reading,Black,68,74,73
Div,29,Fairfax County ,English: Writing,Black,70,72,73
Div,29,Fairfax County ,History and Social Sciences,Black,80,82,81
Div,29,Fairfax County ,Mathematics,Black,66,71,71
Div,29,Fairfax County ,Science,Black,69,72,74
Div,29,Fairfax County ,English: Reading,Hispanic,64,70,70
Div,29,Fairfax County ,English: Writing,Hispanic,69,69,70
Div,29,Fairfax County ,History and Social Sciences,Hispanic,77,76,78
Div,29,Fairfax County ,Mathematics,Hispanic,64,68,68
Div,29,Fairfax County ,Science,Hispanic,66,67,68
Div,29,Fairfax County ,English: Reading,Limited English Proficient,59,65,64
Div,29,Fairfax County ,English: Writing,Limited English Proficient,59,53,51
Div,29,Fairfax County ,History and Social Sciences,Limited English Proficient,73,70,70
Div,29,Fairfax County ,Mathematics,Limited English Proficient,62,66,65
Div,29,Fairfax County ,Science,Limited English Proficient,60,57,59
Div,29,Fairfax County ,English: Reading,Male,79,83,83
Div,29,Fairfax County ,English: Writing,Male,81,82,83
Div,29,Fairfax County ,History and Social Sciences,Male,90,90,91
Div,29,Fairfax County ,Mathematics,Male,80,82,82
Div,29,Fairfax County ,Science,Male,84,84,85
Div,29,Fairfax County ,English: Reading,Students with Disabilities,56,58,58
Div,29,Fairfax County ,English: Writing,Students with Disabilities,54,50,52
Div,29,Fairfax County ,History and Social Sciences,Students with Disabilities,68,67,68
Div,29,Fairfax County ,Mathematics,Students with Disabilities,52,55,56
Div,29,Fairfax County ,Science,Students with Disabilities,57,57,58
Div,29,Fairfax County ,English: Reading,White,89,92,92
Div,29,Fairfax County ,English: Writing,White,91,92,93
Div,29,Fairfax County ,History and Social Sciences,White,95,95,95
Div,29,Fairfax County ,Mathematics,White,88,90,91
Div,29,Fairfax County ,Science,White,92,92,93
Div,109,Falls Church City ,English: Reading,All Students,91,92,92
Div,109,Falls Church City ,English: Writing,All Students,91,93,91
Div,109,Falls Church City ,History and Social Sciences,All Students,93,96,95
Div,109,Falls Church City ,Mathematics,All Students,90,90,88
Div,109,Falls Church City ,Science,All Students,91,90,92
Div,109,Falls Church City ,English: Reading,Asian,83,90,94
Div,109,Falls Church City ,English: Writing,Asian,85,90,93
Div,109,Falls Church City ,History and Social Sciences,Asian,92,98,94
Div,109,Falls Church City ,Mathematics,Asian,90,96,91
Div,109,Falls Church City ,Science,Asian,86,89,94
Div,109,Falls Church City ,English: Reading,Economically Disadvantaged,61,69,64
Div,109,Falls Church City ,English: Writing,Economically Disadvantaged,<,83,65
Div,109,Falls Church City ,History and Social Sciences,Economically Disadvantaged,70,73,81
Div,109,Falls Church City ,Mathematics,Economically Disadvantaged,67,66,69
Div,109,Falls Church City ,Science,Economically Disadvantaged,60,68,70
Div,109,Falls Church City ,English: Reading,Female,93,94,95
Div,109,Falls Church City ,English: Writing,Female,94,97,93
Div,109,Falls Church City ,History and Social Sciences,Female,93,97,95
Div,109,Falls Church City ,Mathematics,Female,92,91,89
Div,109,Falls Church City ,Science,Female,91,92,93
Div,109,Falls Church City ,English: Reading,Black,78,82,81
Div,109,Falls Church City ,English: Writing,Black,73,92,73
Div,109,Falls Church City ,History and Social Sciences,Black,85,84,76
Div,109,Falls Church City ,Mathematics,Black,81,73,75
Div,109,Falls Church City ,Science,Black,73,85,74
Div,109,Falls Church City ,English: Reading,Hispanic,72,80,77
Div,109,Falls Church City ,English: Writing,Hispanic,67,84,78
Div,109,Falls Church City ,History and Social Sciences,Hispanic,83,87,88
Div,109,Falls Church City ,Mathematics,Hispanic,78,80,73
Div,109,Falls Church City ,Science,Hispanic,70,82,79
Div,109,Falls Church City ,English: Reading,Limited English Proficient,46,54,65
Div,109,Falls Church City ,English: Writing,Limited English Proficient,48,<,57
Div,109,Falls Church City ,History and Social Sciences,Limited English Proficient,69,77,75
Div,109,Falls Church City ,Mathematics,Limited English Proficient,70,66,61
Div,109,Falls Church City ,Science,Limited English Proficient,44,66,57
Div,109,Falls Church City ,English: Reading,Male,89,90,90
Div,109,Falls Church City ,English: Writing,Male,89,88,89
Div,109,Falls Church City ,History and Social Sciences,Male,94,95,95
Div,109,Falls Church City ,Mathematics,Male,87,88,88
Div,109,Falls Church City ,Science,Male,90,89,91
Div,109,Falls Church City ,English: Reading,Students with Disabilities,67,64,66
Div,109,Falls Church City ,English: Writing,Students with Disabilities,58,72,64
Div,109,Falls Church City ,History and Social Sciences,Students with Disabilities,76,80,79
Div,109,Falls Church City ,Mathematics,Students with Disabilities,63,63,60
Div,109,Falls Church City ,Science,Students with Disabilities,69,59,72
Div,109,Falls Church City ,English: Reading,White,95,94,95
Div,109,Falls Church City ,English: Writing,White,95,95,94
Div,109,Falls Church City ,History and Social Sciences,White,95,97,97
Div,109,Falls Church City ,Mathematics,White,92,91,91
Div,109,Falls Church City ,Science,White,95,93,95
Div,30,Fauquier County ,English: Reading,All Students,76,80,80
Div,30,Fauquier County ,English: Writing,All Students,78,82,82
Div,30,Fauquier County ,History and Social Sciences,All Students,86,87,87
Div,30,Fauquier County ,Mathematics,All Students,74,80,80
Div,30,Fauquier County ,Science,All Students,83,86,87
Div,30,Fauquier County ,English: Reading,Asian,85,87,90
Div,30,Fauquier County ,English: Writing,Asian,92,88,80
Div,30,Fauquier County ,History and Social Sciences,Asian,92,92,94
Div,30,Fauquier County ,Mathematics,Asian,87,91,89
Div,30,Fauquier County ,Science,Asian,82,89,93
Div,30,Fauquier County ,English: Reading,Economically Disadvantaged,57,64,62
Div,30,Fauquier County ,English: Writing,Economically Disadvantaged,57,61,59
Div,30,Fauquier County ,History and Social Sciences,Economically Disadvantaged,71,74,73
Div,30,Fauquier County ,Mathematics,Economically Disadvantaged,58,65,66
Div,30,Fauquier County ,Science,Economically Disadvantaged,67,71,72
Div,30,Fauquier County ,English: Reading,Female,80,84,83
Div,30,Fauquier County ,English: Writing,Female,84,88,87
Div,30,Fauquier County ,History and Social Sciences,Female,84,85,86
Div,30,Fauquier County ,Mathematics,Female,76,81,82
Div,30,Fauquier County ,Science,Female,83,87,87
Div,30,Fauquier County ,English: Reading,Black,55,58,58
Div,30,Fauquier County ,English: Writing,Black,58,57,65
Div,30,Fauquier County ,History and Social Sciences,Black,65,69,74
Div,30,Fauquier County ,Mathematics,Black,51,61,62
Div,30,Fauquier County ,Science,Black,63,68,71
Div,30,Fauquier County ,English: Reading,Hispanic,68,73,71
Div,30,Fauquier County ,English: Writing,Hispanic,74,70,77
Div,30,Fauquier County ,History and Social Sciences,Hispanic,81,86,82
Div,30,Fauquier County ,Mathematics,Hispanic,67,75,76
Div,30,Fauquier County ,Science,Hispanic,75,78,80
Div,30,Fauquier County ,English: Reading,Limited English Proficient,53,53,58
Div,30,Fauquier County ,English: Writing,Limited English Proficient,53,41,42
Div,30,Fauquier County ,History and Social Sciences,Limited English Proficient,75,72,68
Div,30,Fauquier County ,Mathematics,Limited English Proficient,54,60,65
Div,30,Fauquier County ,Science,Limited English Proficient,56,60,56
Div,30,Fauquier County ,English: Reading,Male,72,77,77
Div,30,Fauquier County ,English: Writing,Male,72,77,78
Div,30,Fauquier County ,History and Social Sciences,Male,87,88,88
Div,30,Fauquier County ,Mathematics,Male,72,78,78
Div,30,Fauquier County ,Science,Male,84,86,87
Div,30,Fauquier County ,English: Reading,Students with Disabilities,39,39,39
Div,30,Fauquier County ,English: Writing,Students with Disabilities,36,39,42
Div,30,Fauquier County ,History and Social Sciences,Students with Disabilities,56,57,59
Div,30,Fauquier County ,Mathematics,Students with Disabilities,36,41,44
Div,30,Fauquier County ,Science,Students with Disabilities,49,51,57
Div,30,Fauquier County ,English: Reading,White,79,84,84
Div,30,Fauquier County ,English: Writing,White,81,86,85
Div,30,Fauquier County ,History and Social Sciences,White,88,89,89
Div,30,Fauquier County ,Mathematics,White,77,83,83
Div,30,Fauquier County ,Science,White,87,90,90
Div,31,Floyd County ,English: Reading,All Students,75,81,79
Div,31,Floyd County ,English: Writing,All Students,70,75,72
Div,31,Floyd County ,History and Social Sciences,All Students,81,83,82
Div,31,Floyd County ,Mathematics,All Students,75,80,82
Div,31,Floyd County ,Science,All Students,79,79,81
Div,31,Floyd County ,English: Reading,Asian,<,<,<
Div,31,Floyd County ,English: Writing,Asian,<,<,
Div,31,Floyd County ,History and Social Sciences,Asian,<,<,
Div,31,Floyd County ,Mathematics,Asian,<,<,<
Div,31,Floyd County ,Science,Asian,<,<,<
Div,31,Floyd County ,English: Reading,Economically Disadvantaged,64,72,69
Div,31,Floyd County ,English: Writing,Economically Disadvantaged,64,65,59
Div,31,Floyd County ,History and Social Sciences,Economically Disadvantaged,71,76,75
Div,31,Floyd County ,Mathematics,Economically Disadvantaged,65,73,76
Div,31,Floyd County ,Science,Economically Disadvantaged,70,71,74
Div,31,Floyd County ,English: Reading,Female,79,85,85
Div,31,Floyd County ,English: Writing,Female,79,88,83
Div,31,Floyd County ,History and Social Sciences,Female,81,83,83
Div,31,Floyd County ,Mathematics,Female,78,86,86
Div,31,Floyd County ,Science,Female,78,83,82
Div,31,Floyd County ,English: Reading,Black,71,75,53
Div,31,Floyd County ,English: Writing,Black,<,<,<
Div,31,Floyd County ,History and Social Sciences,Black,72,67,80
Div,31,Floyd County ,Mathematics,Black,65,72,75
Div,31,Floyd County ,Science,Black,73,<,64
Div,31,Floyd County ,English: Reading,Hispanic,54,61,63
Div,31,Floyd County ,English: Writing,Hispanic,71,64,64
Div,31,Floyd County ,History and Social Sciences,Hispanic,73,74,79
Div,31,Floyd County ,Mathematics,Hispanic,59,69,69
Div,31,Floyd County ,Science,Hispanic,58,58,75
Div,31,Floyd County ,English: Reading,Limited English Proficient,33,50,41
Div,31,Floyd County ,English: Writing,Limited English Proficient,<,<,<
Div,31,Floyd County ,History and Social Sciences,Limited English Proficient,52,59,62
Div,31,Floyd County ,Mathematics,Limited English Proficient,46,55,66
Div,31,Floyd County ,Science,Limited English Proficient,44,38,67
Div,31,Floyd County ,English: Reading,Male,71,77,74
Div,31,Floyd County ,English: Writing,Male,63,65,63
Div,31,Floyd County ,History and Social Sciences,Male,80,84,81
Div,31,Floyd County ,Mathematics,Male,72,75,78
Div,31,Floyd County ,Science,Male,80,75,79
Div,31,Floyd County ,English: Reading,Students with Disabilities,40,49,43
Div,31,Floyd County ,English: Writing,Students with Disabilities,36,39,32
Div,31,Floyd County ,History and Social Sciences,Students with Disabilities,48,57,46
Div,31,Floyd County ,Mathematics,Students with Disabilities,42,49,50
Div,31,Floyd County ,Science,Students with Disabilities,61,50,49
Div,31,Floyd County ,English: Reading,White,77,82,81
Div,31,Floyd County ,English: Writing,White,70,77,73
Div,31,Floyd County ,History and Social Sciences,White,81,84,82
Div,31,Floyd County ,Mathematics,White,76,81,83
Div,31,Floyd County ,Science,White,80,80,81
Div,32,Fluvanna County ,English: Reading,All Students,75,80,81
Div,32,Fluvanna County ,English: Writing,All Students,75,74,81
Div,32,Fluvanna County ,History and Social Sciences,All Students,83,85,88
Div,32,Fluvanna County ,Mathematics,All Students,75,82,83
Div,32,Fluvanna County ,Science,All Students,79,87,88
Div,32,Fluvanna County ,English: Reading,Asian,<,<,85
Div,32,Fluvanna County ,English: Writing,Asian,<,<,<
Div,32,Fluvanna County ,History and Social Sciences,Asian,<,<,80
Div,32,Fluvanna County ,Mathematics,Asian,90,100,85
Div,32,Fluvanna County ,Science,Asian,<,<,<
Div,32,Fluvanna County ,English: Reading,Economically Disadvantaged,61,67,68
Div,32,Fluvanna County ,English: Writing,Economically Disadvantaged,59,64,73
Div,32,Fluvanna County ,History and Social Sciences,Economically Disadvantaged,71,72,81
Div,32,Fluvanna County ,Mathematics,Economically Disadvantaged,61,73,72
Div,32,Fluvanna County ,Science,Economically Disadvantaged,65,75,78
Div,32,Fluvanna County ,English: Reading,Female,79,83,85
Div,32,Fluvanna County ,English: Writing,Female,81,77,88
Div,32,Fluvanna County ,History and Social Sciences,Female,82,85,88
Div,32,Fluvanna County ,Mathematics,Female,78,84,86
Div,32,Fluvanna County ,Science,Female,80,87,88
Div,32,Fluvanna County ,English: Reading,Black,59,63,67
Div,32,Fluvanna County ,English: Writing,Black,59,58,68
Div,32,Fluvanna County ,History and Social Sciences,Black,67,72,74
Div,32,Fluvanna County ,Mathematics,Black,58,73,71
Div,32,Fluvanna County ,Science,Black,58,66,75
Div,32,Fluvanna County ,English: Reading,Hispanic,62,78,73
Div,32,Fluvanna County ,English: Writing,Hispanic,61,67,92
Div,32,Fluvanna County ,History and Social Sciences,Hispanic,75,80,91
Div,32,Fluvanna County ,Mathematics,Hispanic,68,83,75
